EIXO,SUBEIXO,UF,MUNICÍPIO,NOME,MODALIDADE,"OBRA, PROJETO, ESTUDO, EQUIPAMENTO"
Água para Todos,Abastecimento de água,AC,Rio Branco,Implantação do SAA Cidade do Povo​​​ ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,BA,Amélia Rodrigues,Ampliação do SAA-ETA ​,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,BA,"Belo Campo, Vitória da Conquista, Tremedal",Ampliação do SAA ​,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,BA,Camaçari,Ampliação do SAA​,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,BA,Luís Eduardo Magalhães,Ampliação do SAA  - 1ª Etapa​,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,BA,"Paulo Afonso, Santa Brígida",Ampliação do SAA ​,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,BA,Salvador,Ampliação da ETA ​,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,BA,Simões Filho,Ampliação do SAA​,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,BA,"Tremedal, Belo Campo, Vitória da Conquista",Ampliação do SAA e Barragem no Rio Catolé​,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,CE,Camocim,Ampliação do SAA​​​,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,CE,Caucaia,Ampliação do SAA,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,CE,Caucaia,Implantação do SAA da Vila e Praias do Cumbuco,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,CE,Jijoca de Jericoacoara,Ampliação do SAA da Vila de Jericoacoara,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,CE,"São Benedito, Ubajara, Graça, Carnaubal, Pacujá, Guaraciaba do Norte, Ibiapina, Mucambo",Ampliação do SAA Ibiapaba,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,CE,Sobral,Ampliação da ETA Sumaré ​​​V,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,GO,Aparecida de Goiânia,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,GO,"Goiânia, Aparecida de Goiânia, Trindade, Goianira",Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MA,Barreirinhas,Universalização dos serviços de abastecimento de água,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MA,Chapadinha,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MA,Imperatriz,Universalização dos serviços de abastecimento de água,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MA,São Luís,Ampliação do SAA - Bacia do Rio Bacanga,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MA,São Luís,Universalização dos serviços de abastecimento de água,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MG,Arcos,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MG,Ibirité,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MG,Ituiutaba,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MG,Juiz de Fora,Ampliação do SAA de Juiz de Fora e implantação de SAAs em diversos distritos,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MG,Montes Claros,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MG,Nova Resende,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MG,Três Pontas,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MG,Ubá,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MG,Uberaba,Ampliação do SAA 1,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MG,Uberaba,Ampliação do SAA 2,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MG,Uberaba,Ampliação e melhorias do SAA,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MG,Uberlândia,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MS,Dourados,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MS,Ponta Porã,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MS,Três Lagoas,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MT,Rondonópolis,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,MT,Várzea Grande,Ampliação do SAA ,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,Nacional,-,Seleção - Abastecimento de água,Seleção - Abastecimento de água,Obra
Água para Todos,Abastecimento de água,PA,Alenquer,Ampliação do SAA Aningal e Seringal,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,PA,Ananindeua,Ampliação do SAA Bairro Águas Lindas,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,PA,Belém,Ampliação do SAA 10º setor na zona central,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,PA,Belém,Ampliação do SAA 3º setor na zona central,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,PA,"Belém, Ananindeua, Marituba",Ampliação do SAA,"Retomada, conclusão e novas obras",Obra
Água para Todos,Abastecimento de água,PA,Breves,Ampliação do SAA,"Retomada, conclusão e novas obras",Obra
